Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
PRKACA,Protein Kinase CAMP-Activated Catalytic Subunit Alpha,Protein Coding,54,GC19M014559,12.69098377,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKACA
BMP2,Bone Morphogenetic Protein 2,Protein Coding,51,GC20P006767,12.50977325,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2
BMP1,Bone Morphogenetic Protein 1,Protein Coding,51,GC08P022164,12.30244255,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP1
CTSK,Cathepsin K,Protein Coding,53,GC01M152412,12.05952263,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSK
EIF2AK3,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3,Protein Coding,51,GC02M088556,12.05452442,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK3
GORAB,"Golgin, RAB6 Interacting",Protein Coding,38,GC01P170501,11.9905653,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GORAB
PLOD1,"Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 1",Protein Coding,47,GC01P011934,11.75258636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLOD1
AR,Androgen Receptor,Protein Coding,54,GC0XP067544,11.74381161,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR
TERC,Telomerase RNA Component,RNA Gene,31,GC03M169765,11.71728802,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC
STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,55,GC02M190908,11.6833477,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1
PRKAR1A,Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha,Protein Coding,53,GC17P069148,11.62904739,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A
P3H1,Prolyl 3-Hydroxylase 1,Protein Coding,44,GC01M042746,11.5729866,https://www.genecards.org/cgi-bin/carddisp.pl?gene=P3H1
LRP6,LDL Receptor Related Protein 6,Protein Coding,50,GC12M021873,11.4899168,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP6
TNF,Tumor Necrosis Factor,Protein Coding,54,GC06P087731,11.4812336,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,54,GC20P037344,11.42870808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC
SGMS2,Sphingomyelin Synthase 2,Protein Coding,43,GC04P107824,11.34454727,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGMS2
FKBP10,FKBP Prolyl Isomerase 10,Protein Coding,45,GC17P041812,11.30784702,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP10
SLC7A7,Solute Carrier Family 7 Member 7,Protein Coding,48,GC14M022773,11.20696735,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A7
SOX9,SRY-Box Transcription Factor 9,Protein Coding,48,GC17P072121,11.14218044,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX9
CRTAP,Cartilage Associated Protein,Protein Coding,45,GC03P033113,11.13949966,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTAP
FSHR,Follicle Stimulating Hormone Receptor,Protein Coding,50,GC02M048962,11.07545757,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHR
XYLT2,Xylosyltransferase 2,Protein Coding,48,GC17P059023,11.07049847,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XYLT2
SPARC,Secreted Protein Acidic And Cysteine Rich,Protein Coding,52,GC05M151661,10.9213028,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPARC
COL2A1,Collagen Type II Alpha 1 Chain,Protein Coding,51,GC12M047972,10.86662006,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL2A1
UGT2B17,UDP Glucuronosyltransferase Family 2 Member B17,Protein Coding,43,GC04M068537,10.54082775,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B17
CYP17A1,Cytochrome P450 Family 17 Subfamily A Member 1,Protein Coding,51,GC10M102830,10.22752953,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP17A1
IL1B,Interleukin 1 Beta,Protein Coding,50,GC02M112829,10.22568512,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
SHBG,Sex Hormone Binding Globulin,Protein Coding,44,GC17P007613,10.14559364,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG
SMAD3,SMAD Family Member 3,Protein Coding,54,GC15P067063,10.0547514,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3
GNRH1,Gonadotropin Releasing Hormone 1,Protein Coding,45,GC08M025419,10.03269863,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRH1
APOE,Apolipoprotein E,Protein Coding,53,GC19P069967,9.987670898,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE
IGFBP3,Insulin Like Growth Factor Binding Protein 3,Protein Coding,50,GC07M045912,9.941163063,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP3
SATB2,SATB Homeobox 2,Protein Coding,45,GC02M199269,9.876382828,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SATB2
GC,GC Vitamin D Binding Protein,Protein Coding,47,GC04M071741,9.864711761,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GC
MMP2,Matrix Metallopeptidase 2,Protein Coding,55,GC16P055390,9.776364326,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2
SLPI,Secretory Leukocyte Peptidase Inhibitor,Protein Coding,42,GC20M045252,9.749462128,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLPI
PTH1R,Parathyroid Hormone 1 Receptor,Protein Coding,52,GC03P046877,9.697803497,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH1R
ALPL,"Alkaline Phosphatase, Biomineralization Associated",Protein Coding,54,GC01P021508,9.547221184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPL
MTHFR,Methylenetetrahydrofolate Reductase,Protein Coding,50,GC01M011785,9.464244843,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR
MEN1,Menin 1,Protein Coding,47,GC11M064803,9.451766014,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1
SPP1,Secreted Phosphoprotein 1,Protein Coding,49,GC04P087975,9.338768005,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1
ACP5,"Acid Phosphatase 5, Tartrate Resistant",Protein Coding,49,GC19M011574,9.320323944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP5
CYP24A1,Cytochrome P450 Family 24 Subfamily A Member 1,Protein Coding,48,GC20M054153,9.163751602,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP24A1
CTNNB1,Catenin Beta 1,Protein Coding,56,GC03P041236,9.136091232,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1
TGFBR1,Transforming Growth Factor Beta Receptor 1,Protein Coding,56,GC09P099104,9.120366096,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1
KL,Klotho,Protein Coding,50,GC13P033016,9.110681534,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KL
HAMP,Hepcidin Antimicrobial Peptide,Protein Coding,46,GC19P069623,9.032663345,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAMP
NR3C1,Nuclear Receptor Subfamily 3 Group C Member 1,Protein Coding,51,GC05M143277,9.004702568,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1
ALPP,"Alkaline Phosphatase, Placental",Protein Coding,47,GC02P232378,8.983965874,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPP
CYP27B1,Cytochrome P450 Family 27 Subfamily B Member 1,Protein Coding,48,GC12M057757,8.96664238,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27B1
IL1A,Interleukin 1 Alpha,Protein Coding,47,GC02M112773,8.895910263,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A
NHP2,NHP2 Ribonucleoprotein,Protein Coding,46,GC05M178149,8.825040817,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NHP2
LEP,Leptin,Protein Coding,49,GC07P128241,8.806614876,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP
MMP1,Matrix Metallopeptidase 1,Protein Coding,54,GC11M102810,8.579568863,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1
SOX6,SRY-Box Transcription Factor 6,Protein Coding,45,GC11M015949,8.535608292,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX6
WNT16,Wnt Family Member 16,Protein Coding,45,GC07P121325,8.533834457,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT16
PAX5,Paired Box 5,Protein Coding,48,GC09M036859,8.517765999,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX5
CASR,Calcium Sensing Receptor,Protein Coding,53,GC03P122183,8.302357674,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASR
NOP10,NOP10 Ribonucleoprotein,Protein Coding,43,GC15M034345,8.243935585,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP10
CYP3A4,Cytochrome P450 Family 3 Subfamily A Member 4,Protein Coding,52,GC07M099759,8.208696365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4
INS,Insulin,Protein Coding,50,GC11M002159,8.194301605,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS
IL1RN,Interleukin 1 Receptor Antagonist,Protein Coding,52,GC02P123138,8.137090683,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN
TCIRG1,"T Cell Immune Regulator 1, ATPase H+ Transporting V0 Subunit A3",Protein Coding,47,GC11P070645,8.134664536,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCIRG1
IFNG,Interferon Gamma,Protein Coding,52,GC12M068154,8.063009262,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG
FDPS,Farnesyl Diphosphate Synthase,Protein Coding,48,GC01P155308,8.058607101,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDPS
ARHGEF3,Rho Guanine Nucleotide Exchange Factor 3,Protein Coding,43,GC03M056736,8.040190697,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF3
CDX2,Caudal Type Homeobox 2,Protein Coding,45,GC13M027962,8.039357185,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDX2
IL10,Interleukin 10,Protein Coding,50,GC01M206767,8.038012505,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10
TINF2,TERF1 Interacting Nuclear Factor 2,Protein Coding,44,GC14M024277,8.021594048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINF2
FGF23,Fibroblast Growth Factor 23,Protein Coding,48,GC12M004368,7.962874889,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF23
CDC73,Cell Division Cycle 73,Protein Coding,48,GC01P193121,7.926533699,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73
CA2,Carbonic Anhydrase 2,Protein Coding,55,GC08P085463,7.897787094,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA2
SP1,Sp1 Transcription Factor,Protein Coding,49,GC12P053380,7.882835865,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,51,GC06P043770,7.821447849,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
BMP6,Bone Morphogenetic Protein 6,Protein Coding,46,GC06P007726,7.798459053,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6
NOS3,Nitric Oxide Synthase 3,Protein Coding,52,GC07P150990,7.778287888,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3
IGF2,Insulin Like Growth Factor 2,Protein Coding,51,GC11M003998,7.771048546,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2
GALNT3,Polypeptide N-Acetylgalactosaminyltransferase 3,Protein Coding,48,GC02M165747,7.768277645,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT3
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,48,GC03P186842,7.73774147,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ
TYROBP,Transmembrane Immune Signaling Adaptor TYROBP,Protein Coding,45,GC19M035904,7.692873955,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYROBP
IGF1R,Insulin Like Growth Factor 1 Receptor,Protein Coding,57,GC15P098648,7.687559128,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R
PMM2,Phosphomannomutase 2,Protein Coding,49,GC16P008788,7.672597408,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMM2
CCDC170,Coiled-Coil Domain Containing 170,Protein Coding,36,GC06P151494,7.633734703,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC170
HMGCR,3-Hydroxy-3-Methylglutaryl-CoA Reductase,Protein Coding,50,GC05P075336,7.621635437,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR
AXIN1,Axin 1,Protein Coding,48,GC16M000287,7.618000984,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN1
BANF1,BAF Nuclear Assembly Factor 1,Protein Coding,44,GC11P066002,7.614739418,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANF1
FZD4,Frizzled Class Receptor 4,Protein Coding,53,GC11M086945,7.612966537,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD4
CBS,Cystathionine Beta-Synthase,Protein Coding,53,GC21M043053,7.532251358,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBS
ENPP1,Ectonucleotide Pyrophosphatase/Phosphodiesterase 1,Protein Coding,51,GC06P131808,7.48027277,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP1
HLA-DQA1,"Major Histocompatibility Complex, Class II, DQ Alpha 1",Protein Coding,44,GC06P087770,7.462730408,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQA1
CRP,C-Reactive Protein,Protein Coding,48,GC01M159728,7.402601719,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP
NPPB,Natriuretic Peptide B,Protein Coding,46,GC01M011858,7.397390842,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPB
MEPE,Matrix Extracellular Phosphoglycoprotein,Protein Coding,39,GC04P087821,7.388223648,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEPE
CNR2,Cannabinoid Receptor 2,Protein Coding,47,GC01M023870,7.384773254,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR2
MIR214,MicroRNA 214,RNA Gene,24,GC01M172234,7.37825489,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214
PDE11A,Phosphodiesterase 11A,Protein Coding,48,GC02M177624,7.358916283,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE11A
NR5A1,Nuclear Receptor Subfamily 5 Group A Member 1,Protein Coding,52,GC09M124481,7.358339787,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR5A1
PTHLH,Parathyroid Hormone Like Hormone,Protein Coding,48,GC12M027959,7.345256805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTHLH
LEPQTL1,"Leptin, Serum Levels Of",Genetic Locus,4,GC02U903086,7.336279392,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPQTL1
FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,52,GC14P075278,7.335960865,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS
CA8,Carbonic Anhydrase 8,Protein Coding,49,GC08M060187,7.310752869,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA8
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,55,GC03P012287,7.305529118,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG
NDP,Norrin Cystine Knot Growth Factor NDP,Protein Coding,43,GC0XM043948,7.254023075,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP
LCT,Lactase,Protein Coding,44,GC02M135787,7.253488541,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCT
GH1,Growth Hormone 1,Protein Coding,46,GC17M063917,7.2481637,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1
WLS,Wnt Ligand Secretion Mediator,Protein Coding,41,GC01M068098,7.242426395,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WLS
FTCDNL1,Formiminotransferase Cyclodeaminase N-Terminal Like,Protein Coding,22,GC02M199663,7.232094288,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTCDNL1
THSD7A,Thrombospondin Type 1 Domain Containing 7A,Protein Coding,38,GC07M011371,7.227641106,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THSD7A
IFIH1,Interferon Induced With Helicase C Domain 1,Protein Coding,50,GC02M162267,7.216029167,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1
HSD11B1,Hydroxysteroid 11-Beta Dehydrogenase 1,Protein Coding,54,GC01P209686,7.175816059,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1
HLA-DQB1,"Major Histocompatibility Complex, Class II, DQ Beta 1",Protein Coding,45,GC06M069264,7.166454315,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1
CSF1,Colony Stimulating Factor 1,Protein Coding,47,GC01P109911,7.154921055,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1
P2RX7,Purinergic Receptor P2X 7,Protein Coding,50,GC12P126599,7.139154434,https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX7
LEPR,Leptin Receptor,Protein Coding,53,GC01P065421,7.127726078,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR
IBSP,Integrin Binding Sialoprotein,Protein Coding,43,GC04P087799,7.125799656,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IBSP
PRL,Prolactin,Protein Coding,45,GC06M022287,7.065728664,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRL
ZBTB40,Zinc Finger And BTB Domain Containing 40,Protein Coding,39,GC01P022428,7.064459324,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB40
USP8,Ubiquitin Specific Peptidase 8,Protein Coding,48,GC15P050424,7.049061775,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP8
PTK2B,Protein Tyrosine Kinase 2 Beta,Protein Coding,51,GC08P027311,7.010921955,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2B
LPCAT2,Lysophosphatidylcholine Acyltransferase 2,Protein Coding,44,GC16P055510,7.010776043,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPCAT2
IL2,Interleukin 2,Protein Coding,51,GC04M122451,7.008798599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2
TP53,Tumor Protein P53,Protein Coding,55,GC17M007661,6.980306625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
AIP,Aryl Hydrocarbon Receptor Interacting Protein,Protein Coding,45,GC11P067468,6.962991714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIP
ARMC5,Armadillo Repeat Containing 5,Protein Coding,38,GC16P041974,6.94944191,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARMC5
GALT,Galactose-1-Phosphate Uridylyltransferase,Protein Coding,49,GC09P048032,6.943277836,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALT
INSL3,Insulin Like 3,Protein Coding,42,GC19M017816,6.93341589,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSL3
HLA-B,"Major Histocompatibility Complex, Class I, B",Protein Coding,48,GC06M069166,6.933287144,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B
