"Target Name","ChEMBL-ID","UniProt ID","PDB Visualization","TTD ID","Probability","Model accuracy"
"Serotonin transporter","CHEMBL228","P31645","6VRH","Not Available","73.73%","95.51%"
"Cathepsin G","CHEMBL4071","P08311","6VTM","T86385","73.22%","94.64%"
"Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","CHEMBL2288","Q13526","1PIN","T16308","72.24%","91.71%"
"Signal transducer and activator of transcription 3","CHEMBL4026","P40763","6QHD","T29130","72.2%","82.69%"
"Aurora kinase B/Inner centromere protein","CHEMBL3430907","Q96GD4","6YIH","T46781","71.67%","97.5%"
"Transient receptor potential cation channel subfamily A member 1","CHEMBL6007","O75762","6V9V","T84040","70.3%","92.17%"
"Matrix metalloproteinase 8","CHEMBL4588","P22894","1I76","Not Available","70.26%","94.66%"
"Histamine H3 receptor","CHEMBL264","Q9Y5N1","Not Available","Not Available","70.12%","91.43%"
"Inhibitor of nuclear factor kappa B kinase alpha subunit","CHEMBL3476","O15111","5EBZ","Not Available","69.89%","95.83%"
"Serine/threonine-protein kinase PLK1","CHEMBL3024","P53350","2OWB","T40694","69.66%","97.43%"
"Casein kinase II alpha/beta","CHEMBL3038477","P67870","6TLS","T51565","69.64%","99.23%"
"Nuclear receptor ROR-beta","CHEMBL3091268","Q92753","Not Available","Not Available","69.45%","95.5%"
"Lysine-specific demethylase 4C","CHEMBL6175","Q9H3R0","5FJK","Not Available","69.31%","96.69%"
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633","P22001","7EJ1","T76914","69.02%","100%"
"Kallikrein 5","CHEMBL4447","Q9Y337","6QFE","Not Available","68.45%","87.5%"
"Glucose transporter","CHEMBL2535","P11166","6THA","Not Available","68.37%","98.75%"
"Beta-glucuronidase","CHEMBL2728","P08236","3HN3","T96413","67.7%","77.68%"
"Insulin-degrading enzyme","CHEMBL1293287","P14735","3CWW","T81900","67.52%","88.1%"
"NAD-dependent deacetylase sirtuin 2","CHEMBL4462","Q8IXJ6","5FYQ","T83904","67.38%","90.24%"
"Dual specificity phosphatase Cdc25C","CHEMBL2378","P30307","3OP3","Not Available","65.91%","96.67%"
"Tyrosine-protein kinase ITK/TSK","CHEMBL2959","Q08881","4HCU","T91761","65.78%","95%"
"Trypsin I","CHEMBL209","P07477","2RA3","T27602","65.01%","90%"
"Sphingosine 1-phosphate receptor Edg-8","CHEMBL2274","Q9H228","Not Available","T50089","64.97%","100%"
"Multidrug resistance-associated protein 1","CHEMBL3004","P33527","4C3Z","T11288","64.65%","96.37%"
"Lipoxin A4 receptor","CHEMBL4227","P25090","6OMM","Not Available","64.3%","100%"
"Sodium channel protein type III alpha subunit","CHEMBL5163","Q9NY46","Not Available","T76937","63.83%","96.9%"
"Tyrosyl-DNA phosphodiesterase 1","CHEMBL1075138","Q9NUW8","6N0D","Not Available","62.72%","71.22%"
"Proteasome component C5","CHEMBL4208","P20618","6KWY","Not Available","62.48%","90%"
"Glycine transporter 2","CHEMBL3060","Q9Y345","Not Available","Not Available","62.35%","99.17%"
"Cysteine protease ATG4B","CHEMBL1741221","Q9Y4P1","2CY7","Not Available","62.04%","87.5%"
"DNA topoisomerase II alpha","CHEMBL1806","P11388","6ZY5","T17048","61.93%","89%"
"Egl nine homolog 1","CHEMBL5697","Q9GZT9","4BQY","Not Available","61.26%","93.4%"
"Sphingosine kinase 1","CHEMBL4394","Q9NYA1","4V24","T86014","61.13%","96.03%"
"G-protein coupled bile acid receptor 1","CHEMBL5409","Q8TDU6","7CFM","T86273","60.61%","93.65%"
"Acyl coenzyme A:cholesterol acyltransferase 1","CHEMBL2782","P35610","6P2J","Not Available","58.98%","91.65%"
"Pregnane X receptor","CHEMBL3401","O75469","6TFI","T82702","58.94%","94.73%"
"WD repeat-containing protein 5","CHEMBL1075317","P61964","2GNQ","Not Available","58.84%","96.33%"
"Glutathione S-transferase Pi","CHEMBL3902","P09211","5J41","T21669","58.73%","93.81%"
"DNA topoisomerase I","CHEMBL1781","P11387","1K4T","T09826","57.99%","97%"
"Purinergic receptor P2Y12","CHEMBL2001","Q9H244","4PXZ","T46937","57.98%","96%"
"SUMO-activating enzyme","CHEMBL2095174","Q9UBE0","6XOG","Not Available","57.89%","79%"
"Histone lysine demethylase PHF8","CHEMBL1938212","Q9UPP1","3KV4","Not Available","57.87%","98.33%"
"Neuronal acetylcholine receptor; alpha4/beta4","CHEMBL1907591","P30926","6UR8","T70967","57.51%","100%"
"Cysteinyl leukotriene receptor 2","CHEMBL4330","Q9NS75","Not Available","T74238","57.48%","98%"
"Muscarinic acetylcholine receptor M1","CHEMBL216","P11229","6OIJ","T28893","57.28%","94.23%"
"Muscarinic acetylcholine receptor M5","CHEMBL2035","P08912","6OL9","T79961","57.23%","94.62%"
"Tyrosine-protein kinase receptor TYRO3","CHEMBL5314","Q06418","1RHF","Not Available","57.12%","96%"
"ADAM10","CHEMBL5028","O14672","6BE6","T31902","56.9%","97.5%"
"Dual specificity protein phosphatase 3","CHEMBL2635","P51452","3F81","Not Available","56.67%","94%"
"Metabotropic glutamate receptor 5","CHEMBL3227","P41594","6N4X","Not Available","56.66%","96.42%"
"Sodium/glucose cotransporter 1","CHEMBL4979","P13866","Not Available","Not Available","56.01%","98.24%"
"Sodium channel protein type II alpha subunit","CHEMBL4187","Q99250","6J8E","Not Available","55.63%","95.5%"
"Mineralocorticoid receptor","CHEMBL1994","P08235","4PF3","Not Available","55.21%","100%"
"Cyclin-dependent kinase 2/cyclin E1","CHEMBL1907605","P24864","1W98","T70176","55.08%","92.88%"
"Serotonin 2c (5-HT2c) receptor","CHEMBL225","P28335","6BQH","T83813","55.05%","89.62%"
"Sodium channel protein type IX alpha subunit","CHEMBL4296","Q15858","6J8G","T12119","54.63%","96.11%"
"5'-nucleotidase","CHEMBL5957","P21589","6TVE","Not Available","54.58%","97.78%"
"Dopamine transporter","CHEMBL238","Q01959","Not Available","Not Available","54.44%","95.88%"
"Beta-1 adrenergic receptor","CHEMBL213","P08588","7BVQ","T44068","54.32%","95.56%"
"Toll-like receptor 7","CHEMBL5936","Q9NYK1","7CYN","T46482","54.31%","94.29%"
"Dopamine D2 receptor","CHEMBL217","P14416","7JVR","Not Available","54.14%","95.62%"
"FML2_HUMAN","CHEMBL5646","Q6L5J4","Not Available","Not Available","53.43%","100%"
"Toll-like receptor 4","CHEMBL5255","O00206","4G8A","T81443","52.29%","92.5%"
"L-lactate dehydrogenase A chain","CHEMBL4835","P00338","5W8J","Not Available","51.82%","95.34%"
"Adenosine A2b receptor","CHEMBL255","P29275","Not Available","T86679","51.71%","98.59%"
"Bcr/Abl fusion protein","CHEMBL2096618","P00519","5N7E","Not Available","51.64%","85.83%"
"Angiotensin-converting enzyme","CHEMBL1808","P12821","5AMB","T82577","51.08%","93.39%"
"Aminopeptidase N","CHEMBL1907","P15144","4FYT","T67272","51.03%","93.31%"
"Thyroid hormone receptor alpha","CHEMBL1860","P10827","3ILZ","T79591","50.63%","99.15%"
"Proteasome subunit beta type-9","CHEMBL1944495","P28065","6E5B","Not Available","50.57%","97.5%"
"BMP-2-inducible protein kinase","CHEMBL4522","Q9NSY1","4W9W","Not Available","50.48%","78.11%"
"Tyrosine-protein kinase receptor UFO","CHEMBL4895","P30530","5U6B","T82383","50.39%","90.95%"
